"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","feed_likes","love","wow","haha","sad","angry","post_source_type","from_name","total_interactions","interaction_rate","ctr","views_rate","viral_fan_rate","total_reactions","feed_likes_rate","love_rate","wow_rate","haha_rate","sad_rate","angry_rate","viral_rate","fan_rate","share_rate","post_image","video_repost_sharetext","video_meme","series","category","format","sponsored","reposted","original","repost","repost_order","times_repost","days_bet_repost","average_views_rate","average_interaction_rate","average_post_reach","average_video_views","average_viral_fan_rate"
"1769264743325558_1860567550861943","https://www.facebook.com/1769264743325558_1860567550861943","video","""I'm not gonna eat the popsicle, i'm just gonna look like I ate it""","1769264743325558_1860567550861943","https://www.facebook.com/fiercebymitu/videos/1860567550861943/","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19616694_1860569767528388_805536256124518400_n.jpg?oh=9aef4299b65c53e878ca2e53c7573ea7&oe=5A0BF2B5",2017-06-27 11:00:00,2017-06-27,"11:00",122605,1403,1213493,681145,31406,662837,22,313,112,97,923,119,75,610,7,84,51,5480,41305,41,1139,1139,1016,46920,36229,2976,43907,4151,48058,0,48058,13232,20669,162707,162296,156944,5352,78961,74171,4790,40372,50077,0.998,1,0.6546,0.5501,0.4847,0.4313,0.3955,0.3579,0.3366,0.3122,0.2967,0.2862,0.279,0.2709,0.2629,0.2534,0.2457,0.2408,0.239,0.2349,0.2329,0.2296,0.2271,0.2238,0.2223,0.222,0.2196,0.2155,0.2129,0.2093,0.2065,0.2023,0.2007,0.1969,0.1878,0.1786,0.1715,0.1642,0.1563,0.1516,0.115,279,47,0,18,0,0,"native","Fierce by mitu",1139,0.0016721843366684,0.000123321759684061,0.2382693846391,21.1054257148316,344,0.811,0.1366,0,0.0523,0,0,0.954762237429834,0.0452377625701664,0.104477611940299,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19616694_1860569767528388_805536256124518400_n.jpg?oh=9aef4299b65c53e878ca2e53c7573ea7&oe=5A0BF2B5 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""I'm not gonna eat the popsicle, i'm just gonna look like I ate it""",0,NA,"Food & Beverages","Regular",0,0,1,0,NA,NA,NA,0.2382693846391,0.0016721843366684,681145,162296,21.1054257148316
"1769264743325558_1872818066303558","https://www.facebook.com/1769264743325558_1872818066303558","video","""I got to see how someone could work so hard and be invisible.""","1769264743325558_1872818066303558","https://www.facebook.com/fiercebymitu/videos/1872818066303558/","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20370013_1872816719637026_6866851085017939968_n.jpg?oh=94f81853e5233d6e25f874c2228a269a&oe=59ED88DF",2017-07-24 11:01:00,2017-07-24,"11:01",138191,135,268323,180742,8483,176251,3,86,59,15,313,61,12,227,2,41,19,735,3435,16,389,389,310,4230,3560,352,4792,387,5179,0,5179,5060,1646,91390,39109,38456,653,15602,15046,556,4835,7668,0.8589,1,0.7026,0.5161,0.4239,0.3648,0.3033,0.2724,0.2496,0.2193,0.1963,0.1791,0.1555,0.136,0.12,0.1056,0.0997,0.0923,0.0869,0.0831,0.0772,0.0732,0.0711,0.0694,0.0678,0.0659,0.0642,0.0632,0.0619,0.0608,0.0591,0.0574,0.056,0.055,0.0528,0.0514,0.0497,0.0481,0.0433,0.0363,0.0219,68,33,0,0,0,0,"native","Fierce by mitu",389,0.00215223910325215,0.000226842681833774,0.216380254727733,20.7769656960981,101,0.6733,0.3267,0,0,0,0,0.954079920317862,0.0459200796821376,0.15681233933162,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20370013_1872816719637026_6866851085017939968_n.jpg?oh=94f81853e5233d6e25f874c2228a269a&oe=59ED88DF ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""I got to see how someone could work so hard and be invisible.""",0,NA,"Identities","Regular",0,0,1,0,NA,NA,NA,0.216380254727733,0.00215223910325215,180742,39109,20.7769656960981
"1769264743325558_1861191427466222","https://www.facebook.com/1769264743325558_1861191427466222","video","""Show them how powerful we are, and how smart we are!""","1769264743325558_1861191427466222","https://www.facebook.com/fiercebymitu/videos/1861191427466222/","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19620741_1861192527466112_5889520285991829504_n.jpg?oh=24a29cafb280ab4532a093a89be590c3&oe=5A10EA28",2017-06-29 11:00:00,2017-06-29,"11:00",125458,1210,213277,142516,6112,138973,5,108,63,26,385,65,21,277,2,165,25,816,2830,25,476,476,425,3836,3450,391,2628,235,2863,0,2863,4030,1090,72617,36506,35786,725,9647,9148,499,4279,7732,0.8453,1,0.8069,0.516,0.3655,0.2884,0.2377,0.1896,0.1602,0.142,0.1259,0.1108,0.1024,0.094,0.0893,0.0842,0.0796,0.0761,0.0694,0.0634,0.0587,0.0561,0.0542,0.0522,0.049,0.0474,0.0457,0.0448,0.0438,0.0429,0.0416,0.0404,0.0378,0.0361,0.0351,0.0341,0.0328,0.0313,0.0301,0.0274,0.0167,76,25,1,0,0,0,"native","Fierce by mitu",476,0.00333997586235931,0.00115776474220438,0.256153695023717,22.7377290575916,102,0.7451,0.2451,0.0098,0,0,0,0.95787297101699,0.04212702898301,0.136554621848739,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19620741_1861192527466112_5889520285991829504_n.jpg?oh=24a29cafb280ab4532a093a89be590c3&oe=5A10EA28 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""Show them how powerful we are, and how smart we are!""",0,NA,"Identities","Regular",0,0,1,0,NA,NA,NA,0.256153695023717,0.00333997586235931,142516,36506,22.7377290575916
"1769264743325558_1833731143545584","https://www.facebook.com/1769264743325558_1833731143545584","video","""You look like an ethereal princess mermaid.”","1769264743325558_1833731143545584","https://www.facebook.com/fiercebymitu/videos/1833731143545584/","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/18363835_1833733473545351_6167234825561309184_n.jpg?oh=dcae9669dd78efb886bd535f3580e58a&oe=5981C31B",2017-05-05 11:03:00,2017-05-05,"11:03",72262,833,2216068,1165098,27656,1082350,167,2381,764,613,6473,780,446,4092,16,197,123,22543,102543,89,7866,7866,6966,125406,91353,5261,92769,18627,111396,0,111396,17331,32251,152019,346765,323749,23016,180972,159956,21016,96839,119663,0.9119,1,0.6582,0.5394,0.4847,0.4506,0.4058,0.3734,0.3483,0.3327,0.325,0.3139,0.3037,0.2903,0.2852,0.2806,0.2776,0.2755,0.272,0.2681,0.2661,0.2641,0.2612,0.2552,0.2496,0.242,0.2365,0.2315,0.2242,0.2147,0.1984,0.1786,0.1677,0.1569,0.1433,0.1352,0.1304,0.1207,0.1033,0.0848,0.0567,1917,496,5,72,0,0,"native","Fierce by mitu",7866,0.00675136340462347,0.000169084489030107,0.297627324053427,39.1361729823546,2490,0.7699,0.1992,0.002,0.0289,0,0,0.975084819361337,0.0249151806386632,0.099160945842868,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/18363835_1833733473545351_6167234825561309184_n.jpg?oh=dcae9669dd78efb886bd535f3580e58a&oe=5981C31B ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","""You look like an ethereal princess mermaid.”",0,NA,"Beauty & Fashion","Regular",0,0,1,0,NA,NA,NA,0.297627324053427,0.00675136340462347,1165098,346765,39.1361729823546
"1769264743325558_1815359318716100","https://www.facebook.com/1769264743325558_1815359318716100","video","1 Lipstick + 9 Skin Tones","1769264743325558_1815359318716100","https://www.facebook.com/fiercebymitu/videos/1815359318716100/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17583852_1815359335382765_7417689449707864064_n.jpg?oh=ba641b08aa5a100d125e769fb1b64b1d&oe=59635B0A",2017-03-31 17:00:00,2017-03-31,"17:00",9406,748,1539957,948952,5879,934700,48,362,287,573,3191,290,525,2829,3,143,285,15972,53366,66,4054,4054,3607,69766,50336,1646,129686,11631,141250,69,139285,12886,66673,46654,322141,306019,16122,222123,213732,14894,59616,68804,0.7966,1,0.9949,0.955,0.8811,0.8282,0.7879,0.7602,0.7307,0.6956,0.6648,0.6516,0.639,0.6278,0.6118,0.5969,0.5844,0.5713,0.5548,0.5436,0.5289,0.5184,0.4911,0.4723,0.4605,0.4464,0.4368,0.4241,0.4119,0.3948,0.375,0.358,0.3446,0.3305,0.318,0.3088,0.2938,0.2613,0.2114,0.1191,0.0717,398,129,0,6,0,0,"native","Fierce by mitu",4054,0.00427208120115664,0.000150692553469512,0.339470278791762,158.989624085729,533,0.7467,0.242,0,0.0113,0,0,0.993749594664563,0.006250405335437,0.0715342871238283,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17583852_1815359335382765_7417689449707864064_n.jpg?oh=ba641b08aa5a100d125e769fb1b64b1d&oe=59635B0A ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","1 Lipstick + 9 Skin Tones",0,NA,"Beauty & Fashion","Square",0,0,1,0,NA,NA,NA,0.339470278791762,0.00427208120115664,948952,322141,158.989624085729
"1769264743325558_1868653496720015","https://www.facebook.com/1769264743325558_1868653496720015","video","6 Reasons Why We Love Adrienne Bailon Houghton","1769264743325558_1868653496720015","https://www.facebook.com/fiercebymitu/videos/1868653496720015/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/20131291_1868653296720035_3239263106282553344_n.jpg?oh=07267176435056bf519cb6a359c8c4f2&oe=59FBECE5",2017-07-15 16:00:00,2017-07-15,"16:00",133919,315,5523004,2360324,61065,1444350,209,10919,4610,984,21987,4649,775,11068,39,131,114,36843,162412,223,27620,27620,24611,199500,168779,7934,314640,26403,341043,0,341043,20286,145060,80873,658739,624920,33819,444353,414948,29405,293848,374830,0.8367,1,0.8783,0.7897,0.7204,0.6727,0.6184,0.593,0.5754,0.5677,0.5577,0.5496,0.5421,0.5359,0.5318,0.5185,0.5051,0.4967,0.4929,0.4863,0.4813,0.4767,0.4728,0.4644,0.4588,0.4532,0.4455,0.4399,0.4351,0.4302,0.4269,0.4144,0.4028,0.3943,0.3876,0.3831,0.3666,0.3223,0.2214,0.1584,0.0706,9880,2991,4,86,2,0,"native","Fierce by mitu",27620,0.0117017833144941,5.55008549673689e-05,0.279088379391982,23.6526651928273,12963,0.7622,0.2307,3e-04,0.0066,2e-04,0,0.959436434471558,0.0405635655284423,0.168320057929037,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/20131291_1868653296720035_3239263106282553344_n.jpg?oh=07267176435056bf519cb6a359c8c4f2&oe=59FBECE5 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","6 Reasons Why We Love Adrienne Bailon Houghton",0,NA,"Celebrity & Gossip","Square",0,0,1,0,NA,NA,NA,0.279088379391982,0.0117017833144941,2360324,658739,23.6526651928273
"1769264743325558_1822163838035648","https://www.facebook.com/1769264743325558_1822163838035648","video","7 ways to live your best life.","1769264743325558_1822163838035648","https://www.facebook.com/fiercebymitu/videos/1822163838035648/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17883374_1822164174702281_930525254751617024_n.jpg?oh=720b63068d8d455b69fa60220cd05d0e&oe=597FA584",2017-04-12 17:00:00,2017-04-12,"17:00",18968,551,471109,324145,4532,289406,0,68,135,13,418,138,13,350,3,78,43,1239,3887,26,569,569,513,5247,4408,272,7181,461,7642,0,7559,3828,4451,36478,49065,48011,1054,21514,20793,881,4226,6460,0.8113,1,0.9942,0.9775,0.8206,0.7262,0.6486,0.5966,0.5606,0.5283,0.4847,0.4367,0.4096,0.3892,0.3728,0.3429,0.3219,0.3036,0.2903,0.2784,0.2589,0.2445,0.2353,0.2262,0.2156,0.2066,0.2017,0.1928,0.1831,0.1745,0.1697,0.1658,0.1611,0.1552,0.1515,0.14,0.1151,0.1003,0.0916,0.0805,0.0617,126,26,0,0,0,0,"native","Fierce by mitu",569,0.00175538724953339,0.000240633050023909,0.151367443582347,63.8583406884378,152,0.8289,0.1711,0,0,0,0,0.984581782552783,0.0154182174472168,0.242530755711775,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17883374_1822164174702281_930525254751617024_n.jpg?oh=720b63068d8d455b69fa60220cd05d0e&oe=597FA584 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","7 ways to live your best life.",0,NA,"Other","Square",0,0,1,0,NA,NA,NA,0.151367443582347,0.00175538724953339,324145,49065,63.8583406884378
"1769264743325558_1851053311813367","https://www.facebook.com/1769264743325558_1851053311813367","video","A Love Letter To Latina Mothers. :purple_heart:","1769264743325558_1851053311813367","https://www.facebook.com/fiercebymitu/videos/1851053311813367/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/19002618_1851054061813292_4022239986555289600_n.jpg?oh=b73033f65f1c1f92c4d0af3797cb2806&oe=59AC765B",2017-06-06 16:00:00,2017-06-06,"16:00",106838,590,823315,520976,18354,467945,57,818,834,278,3308,858,221,2490,24,130,94,1391,15297,43,4444,4444,3549,16912,15772,1069,29683,779,30462,0,30462,9455,15076,94803,151613,150495,1118,50583,49660,923,15686,24928,0.8229,1,0.7302,0.4637,0.3469,0.2964,0.271,0.2549,0.2367,0.2218,0.2153,0.2103,0.2046,0.2005,0.1948,0.1898,0.1844,0.1775,0.1727,0.1698,0.1669,0.1635,0.1598,0.1555,0.1469,0.1439,0.1377,0.1351,0.1321,0.1287,0.1256,0.1205,0.1139,0.1102,0.1088,0.1075,0.1063,0.1042,0.1004,0.091,0.0476,582,465,1,2,20,0,"native","Fierce by mitu",4444,0.00853014342311354,0.0002495316482909,0.291017244556371,25.4955323090335,1070,0.5439,0.4346,9e-04,0.0019,0.0187,0,0.96225778790415,0.0377422120958505,0.193069306930693,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/19002618_1851054061813292_4022239986555289600_n.jpg?oh=b73033f65f1c1f92c4d0af3797cb2806&oe=59AC765B ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","A Love Letter To Latina Mothers. :purple_heart:",0,NA,"Family & Friends","Square",0,0,1,0,NA,NA,NA,0.291017244556371,0.00853014342311354,520976,151613,25.4955323090335
"1769264743325558_1815463052039060","https://www.facebook.com/1769264743325558_1815463052039060","video","A Tribute To 5 Iconic Afro-Latinas","1769264743325558_1815463052039060","https://www.facebook.com/fiercebymitu/videos/1815463052039060/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17584826_1815463065372392_3063764270052278272_n.jpg?oh=5ec97b67f2978a430a3d85249604854d&oe=5958D349",2017-04-03 17:00:00,2017-04-03,"17:00",12701,171,542839,369956,4196,365511,5,162,393,33,1720,393,28,1558,0,58,20,2211,7820,24,2146,2146,1872,10109,8040,308,14679,1270,15874,75,15566,5818,3751,63913,65980,64064,1916,26344,24991,1604,5869,8385,0.81,1,0.9205,0.6691,0.5359,0.4583,0.4136,0.3787,0.3567,0.3379,0.3228,0.3109,0.2944,0.2807,0.27,0.2619,0.256,0.252,0.2481,0.2418,0.2377,0.2342,0.2319,0.2244,0.2189,0.212,0.2078,0.204,0.2016,0.1987,0.1942,0.1901,0.1864,0.1833,0.172,0.1136,0.0854,0.0692,0.0576,0.0488,0.0327,396,171,1,1,0,0,"native","Fierce by mitu",2146,0.0058006898117614,0.000156775400317876,0.178345532982301,87.1093898951382,569,0.696,0.3005,0.0018,0.0018,0,0,0.988650471860149,0.0113495281398513,0.183131407269338,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17584826_1815463065372392_3063764270052278272_n.jpg?oh=5ec97b67f2978a430a3d85249604854d&oe=5958D349 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","A Tribute To 5 Iconic Afro-Latinas",0,NA,"Latino Culture","Square",0,0,1,0,NA,NA,NA,0.178345532982301,0.0058006898117614,369956,65980,87.1093898951382
"1769264743325558_1844626599122705","https://www.facebook.com/1769264743325558_1844626599122705","video","Amanda Solis Is The Ultimate Selena Tribute Artist","1769264743325558_1844626599122705","https://www.facebook.com/fiercebymitu/videos/1844626599122705/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/18762102_1844628389122526_1610999300236509184_n.jpg?oh=a10b412496f3c555c587a3553b2abb0d&oe=59A3EFED",2017-05-26 11:00:00,2017-05-26,"11:00",100758,710,4829088,2255363,54676,1919604,433,4300,5269,2088,24082,5341,1655,19782,72,334,263,37195,218098,199,31511,31511,27560,255890,200642,9638,361060,30684,391744,0,385606,17168,145002,61225,791496,753942,37554,565094,545482,35558,247756,280820,0.8251,1,0.9845,0.8711,0.8166,0.7849,0.7487,0.7287,0.7077,0.6791,0.6622,0.6459,0.6325,0.6143,0.5859,0.5688,0.5539,0.5373,0.5212,0.507,0.4879,0.4681,0.4623,0.4534,0.4429,0.436,0.4258,0.4158,0.4106,0.3968,0.3766,0.3638,0.3556,0.3436,0.3346,0.3248,0.3137,0.256,0.1859,0.144,0.0975,3173,1060,271,25,1,16,"native","Fierce by mitu",31511,0.0139715868354673,0.000148091460221703,0.350939516166577,35.108713146536,4546,0.698,0.2332,0.0596,0.0055,2e-04,0.0035,0.972305853273092,0.027694146726908,0.169496366348259,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/18762102_1844628389122526_1610999300236509184_n.jpg?oh=a10b412496f3c555c587a3553b2abb0d&oe=59A3EFED ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Amanda Solis Is The Ultimate Selena Tribute Artist",0,NA,"Identities","Square",0,0,1,0,NA,NA,NA,0.350939516166577,0.0139715868354673,2255363,791496,35.108713146536
"1769264743325558_1814481048803927","https://www.facebook.com/1769264743325558_1814481048803927","video","Be true to yourself and OWN it <3","1769264743325558_1814481048803927","https://www.facebook.com/fiercebymitu/videos/1814481048803927/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17584914_1814481068803925_583814883070443520_n.jpg?oh=e8853e6e65c4f2b82cbad1d170cc3136&oe=5956BA4D",2017-03-28 17:00:00,2017-03-28,"17:00",6911,808,1623788,979663,5165,956197,83,1170,1428,1019,6492,1446,936,5322,18,111,128,6564,47867,141,8957,8957,7403,54670,40249,988,56435,3691,60066,60,58717,13435,25210,147795,354570,348626,5944,138654,138208,4995,37188,49953,0.9081,1,0.634,0.4306,0.3446,0.2831,0.2471,0.2092,0.1919,0.184,0.1766,0.1708,0.1666,0.1626,0.1582,0.1502,0.1451,0.1417,0.1383,0.1354,0.1314,0.1276,0.1211,0.1159,0.1096,0.1076,0.1057,0.1025,0.1003,0.0991,0.0979,0.0946,0.0923,0.0911,0.0896,0.0883,0.0874,0.0868,0.0812,0.0714,0.0328,1238,512,17,5,1,2,"native","Fierce by mitu",8957,0.00914293997017342,0.000113304268916964,0.361930582251244,185.130106485963,1775,0.6975,0.2885,0.0096,0.0028,6e-04,0.0011,0.994627414023021,0.00537258597697849,0.161437981467009,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17584914_1814481068803925_583814883070443520_n.jpg?oh=e8853e6e65c4f2b82cbad1d170cc3136&oe=5956BA4D ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Be true to yourself and OWN it <3",0,NA,"Identities","Square",0,0,1,0,NA,NA,NA,0.361930582251244,0.00914293997017342,979663,354570,185.130106485963
"1769264743325558_1836602219925143","https://www.facebook.com/1769264743325558_1836602219925143","video","BFF's Choose Each Others Nails!","1769264743325558_1836602219925143","https://www.facebook.com/fiercebymitu/videos/1836602219925143/","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/18407853_1836603489925016_2282502765357826048_n.jpg?oh=03b423a45d55eab06ef7a96327d5d40d&oe=59B062B8",2017-05-09 11:01:00,2017-05-09,"11:01",77152,529,1806031,992375,28520,962196,531,1185,415,1928,3271,431,1397,2086,16,366,133,11697,76137,71,5630,5630,4588,88333,63047,3482,74843,9377,84220,0,84220,16227,10879,179731,290739,279126,11613,128247,118993,10597,66902,82307,1,0.8984,0.5761,0.4534,0.414,0.3779,0.3594,0.3327,0.3188,0.31,0.2997,0.29,0.282,0.2769,0.2672,0.258,0.2502,0.2476,0.2444,0.2418,0.2416,0.2441,0.2461,0.2473,0.2478,0.2494,0.2518,0.2533,0.2514,0.2254,0.2004,0.186,0.1626,0.1522,0.1094,0.0886,0.0772,0.0682,0.0452,0.03,0.0208,1098,227,2,88,1,1,"native","Fierce by mitu",5630,0.0056732585968006,0.000368812192971407,0.29297291850359,33.737587657784,1417,0.7749,0.1602,0.0014,0.0621,7e-04,7e-04,0.971212739069521,0.0287872609304786,0.0765541740674956,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/18407853_1836603489925016_2282502765357826048_n.jpg?oh=03b423a45d55eab06ef7a96327d5d40d&oe=59B062B8 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","BFF's Choose Each Others Nails!",0,NA,"Beauty & Fashion","Regular",0,0,1,0,NA,NA,NA,0.29297291850359,0.0056732585968006,992375,290739,33.737587657784
"1769264743325558_1819213671663998","https://www.facebook.com/1769264743325558_1819213671663998","video","Cardi B is my idol <3","1769264743325558_1819213671663998","https://www.facebook.com/fiercebymitu/videos/1819213671663998/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17814924_1819214248330607_1156613574458605568_n.jpg?oh=434115b9b35e3a1918b788efdc3839e8&oe=599A6ACE",2017-04-07 17:00:00,2017-04-07,"17:00",15086,135,2340575,1416322,11528,1352771,187,3439,1646,1197,10681,1690,1010,7242,44,234,197,26349,136410,318,13568,13568,11146,163190,126890,3063,115788,17287,133075,0,133075,12779,69430,82963,415790,390322,25468,218957,197054,21903,125132,149845,0.8181,1,0.8255,0.6554,0.5689,0.5223,0.4974,0.4776,0.4589,0.4214,0.3896,0.3743,0.3548,0.3385,0.3251,0.3166,0.3075,0.2963,0.2877,0.2775,0.2677,0.2635,0.2549,0.2462,0.2409,0.2375,0.2315,0.2248,0.2194,0.2156,0.212,0.2092,0.2044,0.1978,0.191,0.1828,0.1785,0.1738,0.1692,0.1634,0.0941,3866,1417,8,122,0,3,"native","Fierce by mitu",13568,0.0095797424596949,0.000165216666831413,0.293570247443731,117.346547536433,5416,0.7138,0.2616,0.0015,0.0225,0,6e-04,0.99155023935369,0.00844976064630994,0.124557783018868,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17814924_1819214248330607_1156613574458605568_n.jpg?oh=434115b9b35e3a1918b788efdc3839e8&oe=599A6ACE ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Cardi B is my idol <3",0,NA,"Celebrity & Gossip","Square",0,0,1,0,NA,NA,NA,0.293570247443731,0.0095797424596949,1416322,415790,117.346547536433
"1769264743325558_1838165106435521","https://www.facebook.com/1769264743325558_1838165106435521","video","Dulce Candy is Fierce!","1769264743325558_1838165106435521","https://www.facebook.com/fiercebymitu/videos/1838165106435521/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/18493982_1838165666435465_7101983398964494336_n.jpg?oh=863536d200b55c35013f8b5bce0d03b6&oe=59BEEBB9",2017-05-13 16:00:00,2017-05-13,"16:00",83462,1990,2100922,1261272,35305,1223262,103,2311,1477,537,11833,1497,434,9522,20,172,160,24018,91069,198,13867,13867,12276,115419,86555,5552,110144,14038,124182,0,124182,12174,63810,71699,408959,385752,23207,253881,233892,19989,88262,108867,0.824,1,0.8926,0.7551,0.6931,0.6581,0.6125,0.5727,0.5398,0.5133,0.4715,0.412,0.375,0.3454,0.336,0.3261,0.3138,0.3011,0.2899,0.2847,0.2701,0.2597,0.2479,0.2412,0.2328,0.2274,0.2212,0.2163,0.2097,0.2078,0.2024,0.1963,0.1907,0.1877,0.1829,0.1771,0.1718,0.1647,0.1589,0.1269,0.0693,1569,669,5,2,0,0,"native","Fierce by mitu",13867,0.010994456390057,0.000136370267476008,0.324243303585587,34.6484067412548,2245,0.6989,0.298,0.0022,9e-04,0,0,0.97194825543654,0.0280517445634599,0.107954135717891,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/18493982_1838165666435465_7101983398964494336_n.jpg?oh=863536d200b55c35013f8b5bce0d03b6&oe=59BEEBB9 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Dulce Candy is Fierce!",0,NA,"Identities","Square",0,0,1,0,NA,NA,NA,0.324243303585587,0.010994456390057,1261272,408959,34.6484067412548
"1769264743325558_1826152690970096","https://www.facebook.com/1769264743325558_1826152690970096","video","Ever Wanted a T-shirt with Selena Quintanilla Wearing Rolos?","1769264743325558_1826152690970096","https://www.facebook.com/fiercebymitu/videos/1826152690970096/","https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17996771_1826152700970095_3340965896037335040_n.jpg?oh=c997224cc863367b150797d411258c42&oe=59BF1779",2017-04-24 16:00:00,2017-04-24,"16:00",43107,1026,1387626,836993,15895,826558,27,611,1271,270,6168,1284,243,5557,13,215,180,4796,34874,79,7722,7722,6776,40065,37174,1967,70171,3072,73090,153,73243,9454,20943,52009,340882,336544,4338,152411,148548,3863,33322,49292,0.8173,1,0.994,0.9024,0.7649,0.6295,0.5248,0.471,0.4352,0.3949,0.3627,0.343,0.3325,0.3155,0.2996,0.2906,0.2702,0.2599,0.2493,0.2436,0.2365,0.2318,0.2212,0.2153,0.2037,0.1932,0.1829,0.1748,0.1672,0.1619,0.1573,0.1531,0.1402,0.1257,0.1157,0.098,0.0832,0.071,0.0615,0.0494,0.0325,546,208,1,17,0,0,"native","Fierce by mitu",7722,0.00922588360954034,0.000256871921270548,0.407269833797893,52.0011324315823,772,0.7073,0.2694,0.0013,0.022,0,0,0.981132478607115,0.0188675213928848,0.166278166278166,"<img src =' https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/17996771_1826152700970095_3340965896037335040_n.jpg?oh=c997224cc863367b150797d411258c42&oe=59BF1779 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">","Ever Wanted a T-shirt with Selena Quintanilla Wearing Rolos?",0,NA,"Beauty & Fashion","Square",0,0,1,0,NA,NA,NA,0.407269833797893,0.00922588360954034,836993,340882,52.0011324315823
