"status_id","permalink","post_type","sharetext","headline","link","full_picture","created_time","date","hour","page_total_likes","page_new_likes","post_impressions","post_reach","post_reach_fan_unique","post_reach_viral_unique","comments_on_post","likes_on_post","shares_on_post","total_comments","total_likes","total_shares","comments_on_shares","likes_on_shares","shares_on_shares","link_clicks","photo_view","video_play","other_clicks","post_negative_feedback","post_story_adds","post_stories","post_storytellers","post_consumptions","post_engaged_users","post_engaged_fan","post_video_complete_views_30s_autoplayed","post_video_complete_views_30s_clicked_to_play","post_video_complete_views_30s_organic","post_video_complete_views_30s_paid","post_video_complete_views_30s_unique","post_video_avg_time_watched","post_video_complete_views_organic_unique","post_video_length","post_video_views","post_video_views_autoplayed","post_video_views_clicked_to_play","post_video_views_10s_unique","post_video_views_10s_autoplayed","post_video_views_10s_clicked_to_play","post_video_views_10s_sound_on","post_video_views_sound_on","s0","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","s31","s32","s33","s34","s35","s36","s37","s38","s39","s40","feed_likes","love","wow","haha","sad","angry","post_source_type","from_name","total_interactions","interaction_rate","ctr","views_rate","viral_fan_rate","total_reactions","feed_likes_rate","love_rate","wow_rate","haha_rate","sad_rate","angry_rate","viral_rate","fan_rate","share_rate","post_image","author","mitu_link","category","sponsored","reposted","original","repost","repost_order","times_repost","days_bet_repost","average_ctr","average_interaction_rate","average_post_reach","average_link_clicks","author_status"
"1769264743325558_1854754558109909","https://www.facebook.com/1769264743325558_1854754558109909","link","I need more confidence tips from her.","Dascha Polanco Was Basically Told To Hide Her Afro-Latina Features When She Started Acting","https://fierce.wearemitu.com/calladitas-no-more/dascha-polanco-was-told-to-hide-her-afro-latina-features-when-she-started-acting/","https://scontent.xx.fbcdn.net/v/t45.1600-4/19220502_6089624649926_6086391772840198144_n.png?oh=6ca5fead975b4d4dafdfd20950d96e78&oe=59A0A235",2017-06-14 19:00:00,2017-06-14,"19:00",108975,215,234868,159746,8387,156881,0,98,59,18,811,59,18,713,0,6196,169,0,1936,6,888,888,800,8301,8026,609,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,27,2,0,3,0,"native","Fierce by mitu",888,0.00555882463410664,0.0387865736857261,6.259937651021e-06,18.7052581375939,172,0.814,0.157,0.0116,0,0.0174,0,0.949252123823124,0.0507478761768763,0.0664414414414414,"<img src =' https://scontent.xx.fbcdn.net/v/t45.1600-4/19220502_6089624649926_6086391772840198144_n.png?oh=6ca5fead975b4d4dafdfd20950d96e78&oe=59A0A235 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">",NA,"https://fierce.wearemitu.com/calladitas-no-more/dascha-polanco-was-told-to-hide-her-afro-latina-features-when-she-started-acting/","Celebrity & Gossip",0,0,1,0,NA,NA,NA,0.0387865736857261,0.00555882463410664,159746,6196,"Contributor"
"1769264743325558_1878637882388243","https://www.facebook.com/1769264743325558_1878637882388243","link","Girls, it ain't easy, but it's easier when you've got your friends","It's Time Movies And TV Show Us That Female Latina Friendships Are As Important As Our Romantic Relationships","https://fierce.wearemitu.com/calladitas-no-more/its-time-movies-and-tv-show-us-that-female-latina-friendships-are-as-important-as-our-romantic-relationships/","https://external.xx.fbcdn.net/safe_image.php?d=AQDYQSyt0U_GwNCS&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F08010019%2FScreen-Shot-2017-08-07-at-5.31.19-PM.png&_nc_hash=AQDKVqIblPBWRXXT",2017-08-07 18:37:00,2017-08-07,"18:37",141617,276,106374,70451,5213,67402,3,39,17,24,222,19,21,183,2,358,50,0,551,4,265,265,219,959,890,146,4,1,5,0,5,0,5,0,18,17,1,9,9,1,4,6,0.5,1,1,1,0.8889,0.8333,0.7222,0.5556,0.5556,0.5556,0.5,0.5,0.5,0.3333,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2778,0.2222,0.2222,0.2778,0.2778,0.2778,0.2778,0.2778,0.2222,39,8,0,0,0,0,"native","Fierce by mitu",265,0.00376147960994166,0.005081546039091,0.000255496728222452,12.929599079225,47,0.8298,0.1702,0,0,0,0,0.928210424843352,0.0717895751566481,0.0716981132075472,"<img src =' https://external.xx.fbcdn.net/safe_image.php?d=AQDYQSyt0U_GwNCS&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F08010019%2FScreen-Shot-2017-08-07-at-5.31.19-PM.png&_nc_hash=AQDKVqIblPBWRXXT ' title="""" alt="""" border=""0"" height=""100"" width=""100"">",NA,"https://fierce.wearemitu.com/calladitas-no-more/its-time-movies-and-tv-show-us-that-female-latina-friendships-are-as-important-as-our-romantic-relationships/","TV & Movies",0,0,1,0,NA,NA,NA,0.005081546039091,0.00376147960994166,70451,358,"Contributor"
"1769264743325558_1871584956426869","https://www.facebook.com/1769264743325558_1871584956426869","link","It’s so important to have a Latino icon accept the LGBTQ+ community.","Receiving High Praise, J.Lo Uses Gender Neutral Pronouns To Describe Her Sister’s Second Child","https://fierce.wearemitu.com/calladitas-no-more/j-lo-is-making-waves-within-the-lgbtq-community-for-using-gender-neutral-pronouns-to-describe-a-loved-one/","https://external.xx.fbcdn.net/safe_image.php?d=AQBLCubLOo7gr3kL&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F07%2F21194659%2Fjlo-non-binary_720.png&_nc_hash=AQB9w8-SC1ocMHl8",2017-07-21 17:00:00,2017-07-21,"17:00",137603,474,777271,519185,20548,511898,0,164,148,348,3339,149,348,3175,1,23464,196,0,10333,51,3836,3836,3515,33993,30493,1704,10,0,10,0,10,0,7,0,33,33,0,17,17,0,8,11,0.5938,1,0.9375,0.7813,0.6563,0.6563,0.5313,0.5313,0.4375,0.3438,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.2813,0.2813,0.2813,0.2813,0.2813,0.2813,0.2813,0.2813,0.2188,0.2188,0.2188,0.2188,0.2188,0.2188,0.2188,0.2188,0.2188,0.2188,0.2188,0.2188,0.1875,125,39,0,0,0,0,"native","Fierce by mitu",3836,0.00738850313472076,0.0451939096853723,6.35611583539586e-05,24.9123029005256,164,0.7622,0.2378,0,0,0,0,0.961408293047558,0.0385917069524421,0.0388425443169969,"<img src =' https://external.xx.fbcdn.net/safe_image.php?d=AQBLCubLOo7gr3kL&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F07%2F21194659%2Fjlo-non-binary_720.png&_nc_hash=AQB9w8-SC1ocMHl8 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">",NA,"https://fierce.wearemitu.com/calladitas-no-more/j-lo-is-making-waves-within-the-lgbtq-community-for-using-gender-neutral-pronouns-to-describe-a-loved-one/","Celebrity & Gossip",0,0,1,0,NA,NA,NA,0.0451939096853723,0.00738850313472076,519185,23464,"Contributor"
"1769264743325558_1865020647083300","https://www.facebook.com/1769264743325558_1865020647083300","link","Is it just me or is it hard to believe that it's 2017 and we're still dealing with this?","She Has Been Unapologetically Proud Of Her Puerto Rican Heritage For Years And Wants Everyone To...","https://fierce.wearemitu.com/calladitas-no-more/la-la-anthony-has-been-an-unapologetic-afro-latina-in-hollywood-for-years-and-she-wants-hollywood-to-change-the-way-it-sees-latinas/","https://scontent.xx.fbcdn.net/v/t45.1600-4/19897241_6081067548148_4365189225310584832_n.png?oh=9dcd18b154bb794daf5cad9de808b4dd&oe=59D15AF9",2017-07-07 08:00:00,2017-07-07,"8:00",130485,634,278990,185434,11236,179334,6,117,51,64,741,54,58,624,3,4027,170,0,2647,14,859,859,740,6844,6107,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,21,0,0,0,0,"native","Fierce by mitu",859,0.00463237593968744,0.0217166215472891,0,15.9606621573514,123,0.8293,0.1707,0,0,0,0,0.941040037781393,0.0589599622186073,0.0628637951105937,"<img src =' https://scontent.xx.fbcdn.net/v/t45.1600-4/19897241_6081067548148_4365189225310584832_n.png?oh=9dcd18b154bb794daf5cad9de808b4dd&oe=59D15AF9 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">",NA,"https://fierce.wearemitu.com/calladitas-no-more/la-la-anthony-has-been-an-unapologetic-afro-latina-in-hollywood-for-years-and-she-wants-hollywood-to-change-the-way-it-sees-latinas/","Identities",0,0,1,0,NA,NA,NA,0.0217166215472891,0.00463237593968744,185434,4027,"Contributor"
"1769264743325558_1879334948985203","https://www.facebook.com/1769264743325558_1879334948985203","link","Her words are sooooo good!","Watch A Latina’s Powerful Anti-Street Harassment Video Come To Life In This Beautiful Choreographed Video","https://fierce.wearemitu.com/calladitas-no-more/watch-a-latinas-powerful-anti-street-harassment-video-come-to-life-in-this-beautiful-choreographed-video/","https://external.xx.fbcdn.net/safe_image.php?d=AQA5SiMsSak_wjj7&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F08221302%2Fbody-paint_720.jpg&_nc_hash=AQDMhfFlhtIRZeKw",2017-08-09 11:00:00,2017-08-09,"11:00",142652,766,74902,50523,2827,49720,1,13,22,11,88,23,10,75,1,368,30,0,293,7,122,122,94,691,643,81,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,"native","Fierce by mitu",122,0.00241474180076401,0.00728381133345209,1.97929655800329e-05,17.5875486381323,19,0.6842,0.3158,0,0,0,0,0.946200544274649,0.0537994557253506,0.188524590163934,"<img src =' https://external.xx.fbcdn.net/safe_image.php?d=AQA5SiMsSak_wjj7&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F08221302%2Fbody-paint_720.jpg&_nc_hash=AQDMhfFlhtIRZeKw ' title="""" alt="""" border=""0"" height=""100"" width=""100"">",NA,"https://fierce.wearemitu.com/calladitas-no-more/watch-a-latinas-powerful-anti-street-harassment-video-come-to-life-in-this-beautiful-choreographed-video/","Identities",0,0,1,0,NA,NA,NA,0.00728381133345209,0.00241474180076401,50523,368,"Contributor"
"1769264743325558_1864995530419145","https://www.facebook.com/1769264743325558_1864995530419145","link","Happy International Kissing Day! xoxo","Quiz: What Type Of Telenovela Kisser Are You?","https://fierce.wearemitu.com/el-amor/quiz-what-type-of-telenovela-kisser-are-you/","https://scontent.xx.fbcdn.net/v/t45.1600-4/19897029_6081169839748_7253200525917683712_n.jpg?oh=d91f6712801222ce6f248e39f728bcf5&oe=5A02EB9F",2017-07-06 19:00:00,2017-07-06,"19:00",129887,740,179147,123856,4496,121820,0,8,6,6,105,6,6,97,0,2147,205,0,552,6,117,117,116,2904,2605,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,0,0,0,"native","Fierce by mitu",117,0.000944645394651854,0.0173346466864746,0,27.0951957295374,10,1,0,0,0,0,0,0.96440672598879,0.03559327401121,0.0512820512820513,"<img src =' https://scontent.xx.fbcdn.net/v/t45.1600-4/19897029_6081169839748_7253200525917683712_n.jpg?oh=d91f6712801222ce6f248e39f728bcf5&oe=5A02EB9F ' title="""" alt="""" border=""0"" height=""100"" width=""100"">",NA,"https://fierce.wearemitu.com/el-amor/quiz-what-type-of-telenovela-kisser-are-you/","TV & Movies",0,0,1,0,NA,NA,NA,0.0173346466864746,0.000944645394651854,123856,2147,"Contributor"
"1769264743325558_1878870642364967","https://www.facebook.com/1769264743325558_1878870642364967","link","Her lyrics do not hold back.","Only La India Understands All The Stages, Including Anger And Relapse, Of A Breakup","https://fierce.wearemitu.com/el-amor/stages-of-a-breakup-as-sung-by-la-india/","https://external.xx.fbcdn.net/safe_image.php?d=AQAfdy9jU5wEWbuJ&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F08004154%2F340302_10151387899941908_193849984_o.jpg&_nc_hash=AQC1CAnW1MNdNGMV",2017-08-08 09:00:00,2017-08-08,"9:00",141950,362,105648,70172,3624,68887,0,18,30,3,220,31,3,202,1,638,27,0,601,6,254,254,238,1266,1256,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,10,0,0,1,0,"native","Fierce by mitu",254,0.00361967736419085,0.00909194550532976,0,19.0085540838852,29,0.6207,0.3448,0,0,0.0345,0,0.950021376067079,0.0499786239329205,0.122047244094488,"<img src =' https://external.xx.fbcdn.net/safe_image.php?d=AQAfdy9jU5wEWbuJ&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F08004154%2F340302_10151387899941908_193849984_o.jpg&_nc_hash=AQC1CAnW1MNdNGMV ' title="""" alt="""" border=""0"" height=""100"" width=""100"">",NA,"https://fierce.wearemitu.com/el-amor/stages-of-a-breakup-as-sung-by-la-india/","Music",0,0,1,0,NA,NA,NA,0.00909194550532976,0.00361967736419085,70172,638,"Contributor"
"1769264743325558_1875907242661307","https://www.facebook.com/1769264743325558_1875907242661307","link","You'll never be good enough for her little angelito.","The Bachelorette Learned That Latina Suegras Don't Mess Around","https://fierce.wearemitu.com/el-amor/the-bachelorette-got-a-harsh-lesson-in-meeting-a-latina-suegra/","https://external.xx.fbcdn.net/safe_image.php?d=AQB9pJP4app31hSs&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F07%2F22013132%2Fross-lsat-blog-bryan-mom-kill.png&_nc_hash=AQAWzz_b79YtJN4e",2017-07-31 17:00:00,2017-07-31,"17:00",139254,122,116397,76334,3672,75193,2,8,3,7,67,3,5,59,0,868,112,0,495,7,77,77,72,1475,1335,159,6,1,7,0,7,0,3,0,29,27,2,16,14,2,11,13,1,0.88,0.68,0.4,0.36,0.32,0.28,0.28,0.28,0.24,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.16,0.16,0.16,0.16,0.16,0.16,0.12,0.12,0.08,0,6,0,0,3,0,0,"native","Fierce by mitu",77,0.00100872481463044,0.0113710797285613,0.000379909345769906,20.4773965141612,9,0.6667,0,0,0.3333,0,0,0.953439421796741,0.0465605782032587,0.038961038961039,"<img src =' https://external.xx.fbcdn.net/safe_image.php?d=AQB9pJP4app31hSs&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F07%2F22013132%2Fross-lsat-blog-bryan-mom-kill.png&_nc_hash=AQAWzz_b79YtJN4e ' title="""" alt="""" border=""0"" height=""100"" width=""100"">",NA,"https://fierce.wearemitu.com/el-amor/the-bachelorette-got-a-harsh-lesson-in-meeting-a-latina-suegra/","TV & Movies",0,0,1,0,NA,NA,NA,0.0113710797285613,0.00100872481463044,76334,868,"Contributor"
"1769264743325558_1879064779012220","https://www.facebook.com/1769264743325558_1879064779012220","link","Bryan got the final :rose: and everyone's throwing shade","Fans Aren't Happy With The Bachelorette Choosing ""Fake"" Latin Lover Bryan","https://fierce.wearemitu.com/entertainment/fans-arent-happy-with-the-bachelorette-choosing-fake-latin-lover-bryan/","https://external.xx.fbcdn.net/safe_image.php?d=AQDQL4M85mfE-ld5&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F09004448%2Fbachlorette_720-1.jpg&_nc_hash=AQCwrGXhA4FcKcRN",2017-08-08 20:00:00,2017-08-08,"20:00",141950,362,165678,117511,5270,116187,3,5,9,42,75,9,39,70,0,2590,50,0,1811,8,126,126,112,4451,3893,290,3,1,4,0,3,0,1,0,12,11,1,5,5,1,4,7,1,0.7143,0.5714,0.4286,0.4286,0.4286,0.4286,0.4286,0.2857,0.2857,0.4286,0.4286,0.2857,0.2857,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.2857,0.2857,0.2857,0.2857,0.2857,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,0.1429,7,0,0,1,0,0,"native","Fierce by mitu",126,0.00107224004561275,0.0220404898264843,0.000102118099582167,22.0468690702087,8,0.875,0,0,0.125,0,0,0.956610158327639,0.0433898416723614,0.0714285714285714,"<img src =' https://external.xx.fbcdn.net/safe_image.php?d=AQDQL4M85mfE-ld5&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F09004448%2Fbachlorette_720-1.jpg&_nc_hash=AQCwrGXhA4FcKcRN ' title="""" alt="""" border=""0"" height=""100"" width=""100"">",NA,"https://fierce.wearemitu.com/entertainment/fans-arent-happy-with-the-bachelorette-choosing-fake-latin-lover-bryan/","TV & Movies",0,0,1,0,NA,NA,NA,0.0220404898264843,0.00107224004561275,117511,2590,"Contributor"
"1769264743325558_1879456958973002","https://www.facebook.com/1769264743325558_1879456958973002","link","Homegirls por vida!","Sad Girl And Mousie Of 'Mi Vida Loca' Are Still Besties After 25 Years","https://fierce.wearemitu.com/entertainment/mi-vida-locas-sad-girl-and-mousie-are-still-besties-after-25-years/","https://external.xx.fbcdn.net/safe_image.php?d=AQD6AoOybP_NbS5v&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F10010956%2Fmi-vida-sad-mousey_720.jpg&_nc_hash=AQCRFNg7WFz5Pd09",2017-08-09 20:00:00,2017-08-09,"20:00",142652,766,943627,674424,26925,669005,39,440,1677,1492,14565,1686,1453,14125,9,23235,119,0,8399,41,17743,17743,15843,31753,39147,2577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,141,0,4,0,0,"native","Fierce by mitu",17743,0.0263083757398906,0.0344516209387566,0,24.846982358403,644,0.7748,0.2189,0,0.0062,0,0,0.961310764013622,0.0386892359863779,0.0950233895057206,"<img src =' https://external.xx.fbcdn.net/safe_image.php?d=AQD6AoOybP_NbS5v&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F10010956%2Fmi-vida-sad-mousey_720.jpg&_nc_hash=AQCRFNg7WFz5Pd09 ' title="""" alt="""" border=""0"" height=""100"" width=""100"">",NA,"https://fierce.wearemitu.com/entertainment/mi-vida-locas-sad-girl-and-mousie-are-still-besties-after-25-years/","TV & Movies",0,0,1,0,NA,NA,NA,0.0344516209387566,0.0263083757398906,674424,23235,"Contributor"
"1769264743325558_1876923832559648","https://www.facebook.com/1769264743325558_1876923832559648","link","I'm loving this so much!","Today's Google Doodle Honors The Iconic Dolores Del Río And People Online Are Beyond Honored","https://fierce.wearemitu.com/entertainment/new-google-doodle-is-in-honor-of-the-great-actor-dolores-del-rio/","https://external.xx.fbcdn.net/safe_image.php?d=AQAUO14ERKH1-rZJ&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F03162309%2FScreen-Shot-2017-08-03-at-8.24.34-AM.png&_nc_hash=AQCD60hDDOULvBsh",2017-08-03 14:00:00,2017-08-03,"14:00",140781,201,159902,106683,8759,101159,7,213,103,17,1261,105,10,1048,2,1089,37,0,934,8,1383,1383,1240,2060,2711,525,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,160,53,1,0,0,0,"native","Fierce by mitu",1383,0.0129636399426338,0.0102078119287984,9.37356467290946e-06,11.5491494462838,214,0.7477,0.2477,0.0047,0,0,0,0.920313324478247,0.0796866755217526,0.0759219088937093,"<img src =' https://external.xx.fbcdn.net/safe_image.php?d=AQAUO14ERKH1-rZJ&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F08%2F03162309%2FScreen-Shot-2017-08-03-at-8.24.34-AM.png&_nc_hash=AQCD60hDDOULvBsh ' title="""" alt="""" border=""0"" height=""100"" width=""100"">",NA,"https://fierce.wearemitu.com/entertainment/new-google-doodle-is-in-honor-of-the-great-actor-dolores-del-rio/","Identities",0,0,1,0,NA,NA,NA,0.0102078119287984,0.0129636399426338,106683,1089,"Contributor"
"1769264743325558_1870773579841340","https://www.facebook.com/1769264743325558_1870773579841340","link","Yessss! I'm so excited for this!","Some ‘Once Upon A Time’ Fans Are Not Happy With Them Recasting Cinderella For The Reboot","https://fierce.wearemitu.com/entertainment/once-upon-a-time-is-giving-us-a-latina-cinderella/","https://external.xx.fbcdn.net/safe_image.php?d=AQCAa-pAUa41z85H&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F07%2F19190808%2FDaniaRamirezCinderella.jpg&_nc_hash=AQD4Ans-m-Z1X9ZU",2017-07-19 19:00:00,2017-07-19,"19:00",136269,750,328564,241755,10067,235387,4,37,30,109,509,31,105,472,1,6938,140,0,4798,7,649,649,569,11876,10411,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,8,1,0,0,0,"native","Fierce by mitu",649,0.00268453599718724,0.0286984757295609,0,23.3820403297904,47,0.8085,0.1702,0.0213,0,0,0,0.95898620515453,0.04101379484547,0.0477657935285054,"<img src =' https://external.xx.fbcdn.net/safe_image.php?d=AQCAa-pAUa41z85H&url=https%3A%2F%2Fdd2d9j2i66w9u.cloudfront.net%2Fwp-content%2Fuploads%2Fsites%2F2%2F2017%2F07%2F19190808%2FDaniaRamirezCinderella.jpg&_nc_hash=AQD4Ans-m-Z1X9ZU ' title="""" alt="""" border=""0"" height=""100"" width=""100"">",NA,"https://fierce.wearemitu.com/entertainment/once-upon-a-time-is-giving-us-a-latina-cinderella/","TV & Movies",0,0,1,0,NA,NA,NA,0.0286984757295609,0.00268453599718724,241755,6938,"Contributor"
"1769264743325558_1865288037056561","https://www.facebook.com/1769264743325558_1865288037056561","link","""I'm the Black-A-Rican bruja straight out from the Yoruba.""","From Foster Care To Fashion Model This Afro-Latina Hip-Hop Artist Is Inspiring Us With Her...","https://fierce.wearemitu.com/fierce-boss-ladies/afro-puerto-rican-rapper-princess-nokia-dropped-a-dope-video-for-her-song-g-o-a-t-and-her-story-will-amaze-you/","https://scontent.xx.fbcdn.net/v/t45.1600-4/19897385_6081067537348_1518617345428291584_n.png?oh=1f2a2726eeae19d599304987d5201eaf&oe=59FFC50A",2017-07-07 10:00:00,2017-07-07,"10:00",130485,634,49255,32733,2019,32219,1,24,32,9,206,32,8,182,0,290,141,0,389,5,247,247,214,820,806,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,7,0,0,0,0,"native","Fierce by mitu",247,0.00754590168942657,0.00885956068799071,0,15.9578999504705,39,0.8205,0.1795,0,0,0,0,0.941030434020679,0.0589695659793212,0.129554655870445,"<img src =' https://scontent.xx.fbcdn.net/v/t45.1600-4/19897385_6081067537348_1518617345428291584_n.png?oh=1f2a2726eeae19d599304987d5201eaf&oe=59FFC50A ' title="""" alt="""" border=""0"" height=""100"" width=""100"">",NA,"https://fierce.wearemitu.com/fierce-boss-ladies/afro-puerto-rican-rapper-princess-nokia-dropped-a-dope-video-for-her-song-g-o-a-t-and-her-story-will-amaze-you/","Identities",0,0,1,0,NA,NA,NA,0.00885956068799071,0.00754590168942657,32733,290,"Contributor"
